traintag,net,traindb,testdb,testsplit,numreal,numfake,loss,acc,accbal,rocauc
net-Xception_traindb-ff-deepfake_face-scale_size-224_seed-41_bestval,Xception,ff-deepfake,ff-deepfake,val,31,29,0.3759291050645212,0.8666666666666667,0.8631813125695217,0.9199110122358175
net-Xception_traindb-ff-deepfake_face-scale_size-224_seed-41_bestval,Xception,ff-deepfake,ff-deepfake,test,34,26,0.3358207382261753,0.85,0.8495475113122172,0.9423076923076923
